Title,Description,CategoryID,IsDefault,TargetSets,MeasurementType,Level
Flat Bent Leg Raises,"Lay down.
Bend your legs a bit and lift you legs off the ground.
Raise your legs perpendicular to the floor.",5,1,"25,25,25",REP,3
Flat Leg Raises,"Lay down.
Keep your legs straight and lift you legs off the ground.
Raise your legs perpendicular to the floor.",5,1,"20,20",REP,4
Parallel Knee Raises,"Grab two objects like parallel bars.
Bend your knees to 90 degrees and lift your body off the ground.
Raise your legs to where our thighs are perpendicular to the floor.",5,1,"25,25,25",REP,5
Parallel Leg Raises,"Grab two objects like parallel bars.
Keep your legs straight and lift your body off the ground.
Raise your legs to where our thighs are perpendicular to the floor.",5,1,"20,20",REP,6
Hanging Knee Raises,"Hang on to a bar.
Bend your knees to 90 degrees and lift your legs parallel to the bar.",5,1,"15,15,15",REP,7
Hanging Bent Leg Raises,"Hang on to a bar.
Bend your legs a bit and lift your legs parallel to the bar.",5,1,"15,15",REP,8
Hanging Leg Raises,"Hang on to a bar.
Keep your legs straight and lift your legs parallel to the bar.",5,1,"15,15",REP,9
Toes To Bar,"Hang on to a bar.
Keep your legs straight and lift your legs to your hands.",5,1,"15,15",REP,10
Vertical Pike Pushups,"Put your hands on the wall and bend 90 degrees.
Push towards the wall.",6,1,"40,40,40",REP,1
Incline Pike Pushups,"Put your hands on an elevated object like a chair.
Bend at the waist with a straight back.
Stick your butt as hihg as you can.
Push down.",6,1,"40,40,40",REP,2
Pike Pushups,Like the incline pike pushups but on the floor.,6,1,"30,30,30",REP,3
Decline Pike Pushups,Do the pike pushups with your legs on an elevated object.,6,1,"30,30",REP,4
Wall Handstand,Walk up on the wall with your belly facing the wall.,6,1,"60,60",SECONDS,5
Handstand,"Kick up to the wall with your back facing the wall.
Once balanced, let go of the wall.",6,1,"30,30",SECONDS,6
Wall Handstand Pushups Negatives,"Walk up on the wall with your belly facing the wall.
You want your hands a bit away from the wall so you can tilt your body.
Push down. Walk back up.",6,1,"20,20",REP,7
Wall Handstand Pushups,"Walk up on the wall with your belly facing the wall.
You want your hands a bit away from the wall so you can tilt your body.
Push down, dragging your toes on the wall.
Walk back up.",6,1,"15,15",REP,8
Bent Handstand,Hold a handstand with your arms bent.,6,1,"30,30",SECONDS,9
Handstand Pushups,"Get into a handstand position.
Push down.",6,1,"20,20",REP,10
